destination_ips,source_ips,time_variance,max_occuring_byte_size,byte_size_variance,protocols,number_of_packets,label
"17.248.216.66,52.19.236.182,192.168.0.1,17.242.13.4,192.168.0.137,142.251.42.3,52.219.164.148,142.250.76.174,239.255.255.250","17.248.216.66,52.19.236.182,192.168.0.1,192.168.0.104,17.242.13.4,192.168.0.137,142.251.42.3,52.219.164.148,142.250.76.174",0.45776411857205923,1486,476995.1916561479,"17,6",824,0
"17.242.13.4,192.168.0.137,17.248.216.66,52.219.164.148","17.242.13.4,192.168.0.137,17.248.216.66,52.219.164.148",0.8217899195908017,1486,493481.83962299704,6,729,0
"142.251.12.188,17.248.216.66,192.168.0.1,224.0.0.251,192.168.0.137,52.219.128.42","142.251.12.188,17.248.216.66,192.168.0.109,192.168.0.194,192.168.0.1,192.168.0.104,192.168.0.137,52.219.128.42",0.8117035267075089,1486,493216.36024961114,"17,6",731,0
"17.248.216.66,31.13.64.61,17.242.13.4,224.0.0.251,192.168.0.137,52.219.128.42","17.248.216.66,192.168.0.109,31.13.64.61,17.242.13.4,192.168.0.137,52.219.128.42",0.9180267948319694,66,175904.49494949495,"17,6",45,0
"54.239.37.226,52.219.164.188,17.248.216.66,192.168.0.137,142.251.42.46","54.239.37.226,52.219.164.188,17.248.216.66,192.168.0.137,142.251.42.46",0.7036339786036798,1486,497153.25236888963,6,724,0
"17.242.13.4,192.168.0.137,52.219.164.188,17.248.216.66","17.242.13.4,192.168.0.137,52.219.164.188,17.248.216.66",0.8876552496457049,66,219876.0218487395,6,35,0
"17.248.216.66,52.219.36.29,192.168.0.1,17.242.13.4,224.0.0.251,192.168.0.137,13.33.146.36,142.250.76.174","17.248.216.66,52.219.36.29,192.168.0.1,192.168.0.104,17.242.13.4,192.168.0.137,13.33.146.36,142.250.76.174",0.7310276341187361,54,489964.4990541185,"17,6",772,0
"17.248.216.66,192.168.0.1,31.13.64.61,224.0.0.251,192.168.0.137,52.219.128.194,142.251.42.3,140.82.113.25,239.255.255.250","17.248.216.66,192.168.0.109,192.168.0.1,31.13.64.61,192.168.0.137,52.219.128.194,142.251.42.3,140.82.113.25",1.1231741163389053,1486,470473.2273995485,"17,6",882,0
"17.242.13.4,192.168.0.137,52.219.128.194,17.248.216.66","17.242.13.4,192.168.0.137,52.219.128.194,17.248.216.66",0.42429712215372684,66,210786.2447447448,6,37,0
"17.248.216.66,52.19.236.182,52.219.184.16,17.242.13.4,192.168.0.137","17.248.216.66,52.19.236.182,52.219.184.16,17.242.13.4,192.168.0.137",0.3160906579557261,1486,495635.80252222734,6,766,0
"17.248.216.66,52.219.184.16,17.242.13.4,192.168.0.137,224.0.0.251,140.82.113.25","54.239.37.226,17.248.216.66,52.219.184.16,17.242.13.4,192.168.0.137,192.168.0.104,140.82.113.25",0.3604936596809072,1486,494764.350027978,"17,6",780,0
"142.251.12.188,17.248.216.66,52.219.184.16,224.0.0.251,192.168.0.137,17.242.13.4","142.251.12.188,17.248.216.66,192.168.0.109,52.219.184.16,17.242.13.4,192.168.0.137",0.726643186227747,54,494695.999735607,"17,6",800,0
"17.248.216.66,52.19.236.182,192.168.0.1,192.168.0.137,52.219.128.194,239.255.255.250","17.248.216.66,52.19.236.182,192.168.0.1,192.168.0.104,192.168.0.137,52.219.128.194",0.7446205046703488,1486,494342.2812103026,"17,6",775,0
"17.248.216.66,17.242.13.4,192.168.0.137,52.219.128.194,142.251.42.46","17.248.216.66,17.242.13.4,192.168.0.137,52.219.128.194,142.251.42.46",0.301806540733038,66,201655.70850202432,6,39,0
"17.248.216.66,17.242.13.4,224.0.0.251,192.168.0.137,52.219.128.194","17.248.216.66,192.168.0.104,17.242.13.4,192.168.0.137,52.219.128.194",0.7351845785426607,1486,496470.99584231596,"17,6",765,0
"52.219.132.122,17.248.216.66,192.168.0.1,17.242.13.4,224.0.0.251,192.168.0.137,52.219.128.194,13.33.146.36,142.250.76.174","52.219.132.122,17.248.216.66,192.168.0.109,192.168.0.1,17.242.13.4,192.168.0.137,52.219.128.194,13.33.146.36,142.250.76.174",0.3636077346696862,54,492231.5677554966,"17,6",823,0
"17.248.216.69,17.248.216.66,52.219.40.94,192.168.0.1,192.168.0.137","17.248.216.69,17.248.216.66,52.219.40.94,192.168.0.1,192.168.0.137",0.6877931521172761,1486,496827.9202978506,"17,6",797,0
"17.242.13.4,192.168.0.137,17.248.216.69","17.242.13.4,17.248.216.69,192.168.0.137",0.9983648028226928,66,267724.8319088319,6,27,0
"57.128.101.83,192.168.189.70,192.168.189.50","57.128.101.83,192.168.189.70,192.168.189.50",0.5504290742715275,42,1.2708171847942606,"1,6",1810,1
"192.168.189.50,192.168.189.70","192.168.189.50,192.168.189.70",2.0876616875226457,42,0,1,3456,1
"192.168.189.50,192.168.189.70,57.128.101.83","192.168.189.50,192.168.189.70,57.128.101.83",1.9332365240891187,42,0.6838817331606424,"1,6",3366,1
"192.168.189.50,192.168.189.70","192.168.189.50,192.168.189.70",2.3304551018219284,42,0,1,3744,1
"192.168.189.50,192.168.189.70,57.128.101.83","192.168.189.50,192.168.189.70,57.128.101.83",1.9725965298910653,42,0.6512147503860257,"1,6",3535,1
"192.168.189.50,192.168.189.70","192.168.189.50,192.168.189.70",1.9329906816743547,42,0,1,3516,1
"192.168.189.50,192.168.189.70,57.128.101.83","192.168.189.50,192.168.189.70,57.128.101.83",1.8874282983272497,42,0.6541731308040927,"1,6",3519,1
"192.168.189.50,224.0.0.251,192.168.189.70","192.168.189.50,192.168.189.70",2.15024606748381,42,0.5656424581005587,"1,17",3580,1
"192.168.189.50,192.168.189.70,57.128.101.83","192.168.189.50,192.168.189.70,57.128.101.83",2.019451140827055,42,0.6532457536222965,"1,6",3524,1
"192.168.189.50,192.168.189.70","192.168.189.50,192.168.189.70",1.9584541565009739,42,0,1,3494,1
"192.168.189.50,192.168.189.70,57.128.101.83","192.168.189.50,192.168.189.70,57.128.101.83",0.03242334791464828,42,3.30080492894763,"1,6",348,0
192.168.189.70,57.128.101.83,0,0,0,6,1,0
"57.128.101.83,192.168.189.70","57.128.101.83,192.168.189.70",5.256879376247525e-10,66,0,6,2,0
"57.128.101.83,192.168.189.70","57.128.101.83,192.168.189.70",0.01830950668238529,66,0,6,2,0
"57.128.101.83,192.168.189.70","57.128.101.83,192.168.189.70",6.394884621840902e-10,66,0,6,2,0
"17.248.216.69,17.248.216.66,52.219.36.5,17.242.13.4,224.0.0.251,192.168.0.137","17.248.216.69,17.248.216.66,52.219.36.5,17.242.13.4,192.168.0.104,192.168.0.137",0.27287239524679896,1486,498243.2520131347,"17,6",872,0
"17.248.216.69,17.248.216.66,52.219.36.5,192.168.0.1,31.13.64.61,17.242.13.4,224.0.0.251,192.168.0.137,140.82.113.25,239.255.255.250","17.248.216.69,17.248.216.66,192.168.0.109,52.219.36.5,192.168.0.194,192.168.0.1,31.13.64.61,17.242.13.4,192.168.0.137,140.82.113.25",1.343873536261098,66,237805.59021807977,"17,6",258,0
"17.248.216.69,142.251.12.188,17.248.216.66,52.219.36.5,17.242.13.4,192.168.0.137,239.255.255.250","17.248.216.69,142.251.12.188,17.248.216.66,192.168.0.194,52.219.36.5,17.242.13.4,192.168.0.137",1.2075553273942783,66,260393.31046872446,"17,6",157,0
"17.248.216.69,17.248.216.66,224.0.0.1,52.219.36.5,52.19.236.182,192.168.0.1,17.242.13.4,224.0.0.251,192.168.0.137","17.248.216.69,17.248.216.66,52.219.36.5,52.19.236.182,192.168.0.1,17.242.13.4,192.168.0.104,192.168.0.137",1.1045756698647293,66,264963.90514275886,"17,2,6",153,0
"224.0.0.2,17.248.216.69,17.248.216.66,142.250.183.34,192.168.0.1,17.242.13.4,224.0.0.251,192.168.0.137,140.82.113.25,142.251.42.46,224.0.0.252,239.255.255.250,52.219.164.144","17.248.216.69,17.248.216.66,142.250.183.34,192.168.0.1,17.242.13.4,192.168.0.104,192.168.0.137,140.82.113.25,142.251.42.46,52.219.164.144",2.072622827056497,66,279281.2831497348,"17,2,6",172,0
"17.248.216.69,17.248.216.66,17.242.13.4,224.0.0.251,192.168.0.137,52.219.164.144","17.248.216.69,17.248.216.66,192.168.0.109,17.242.13.4,192.168.0.137,52.219.164.144",1.1900978156548632,66,260753.73426117632,"17,6",162,0
"17.248.216.69,17.248.216.66,52.219.184.60,52.19.236.182,192.168.0.1,17.242.13.4,192.168.0.137,13.33.146.36,142.250.76.174,239.255.255.250","17.248.216.69,17.248.216.66,52.219.184.60,52.19.236.182,192.168.0.1,192.168.0.104,17.242.13.4,192.168.0.137,13.33.146.36,142.250.76.174",0.6600841020118544,66,324735.59913429443,"17,6",234,0
"17.248.216.69,17.248.216.66,52.219.184.60,142.250.183.34,17.242.13.4,192.168.0.137,142.251.42.46","17.248.216.69,17.248.216.66,52.219.184.60,142.250.183.34,17.242.13.4,192.168.0.137,142.251.42.46",1.5127677990601531,66,265663.4764573087,"17,6",158,0
"17.248.216.69,17.248.216.66,52.219.184.60,17.242.13.4,224.0.0.251,192.168.0.137","17.248.216.69,17.248.216.66,52.219.184.60,192.168.0.194,17.242.13.4,192.168.0.104,192.168.0.137",1.1793989703835133,66,274340.016686999,"17,6",152,0
"17.248.216.69,17.248.216.66,52.219.184.60,142.250.66.3,192.168.0.1,17.242.13.4,224.0.0.251,192.168.0.137","17.248.216.69,17.248.216.66,192.168.0.109,52.219.184.60,142.250.66.3,192.168.0.1,17.242.13.4,192.168.0.137",1.1574310323828219,66,275913.8571966606,"17,6",179,0
"17.248.216.69,17.248.216.66,17.242.13.4,192.168.0.137,3.5.150.213","17.248.216.69,17.248.216.66,17.242.13.4,192.168.0.137,3.5.150.213",0.9582054853940334,66,302659.0544117647,6,136,0
"142.251.12.188,17.248.216.69,17.248.216.66,17.242.13.4,192.168.0.137,3.5.150.213","17.248.216.69,142.251.12.188,17.248.216.66,17.242.13.4,192.168.0.137,3.5.150.213",1.0015826323026165,66,289516.050070855,6,146,0
"17.248.216.69,17.248.216.66,17.242.13.4,224.0.0.251,192.168.0.137,3.5.150.213","17.248.216.69,17.248.216.66,17.242.13.4,192.168.0.104,192.168.0.137,3.5.150.213",1.267575022186859,66,278290.97299621603,"17,6",153,0
"17.248.216.69,17.248.216.66,17.242.13.4,224.0.0.251,192.168.0.137,3.5.150.213,140.82.113.25","17.248.216.69,17.248.216.66,192.168.0.109,17.242.13.4,192.168.0.137,3.5.150.213,140.82.113.25",1.2468993762850356,66,294696.52477100363,"17,6",143,0
"17.248.216.69,17.248.216.66,142.250.66.3,192.168.0.1,17.242.13.4,192.168.0.137,3.5.150.213","17.248.216.69,17.248.216.66,142.250.66.3,192.168.0.1,17.242.13.4,192.168.0.137,3.5.150.213",0.8034720275507103,66,290405.4364194615,"17,6",146,0
"17.248.216.69,17.248.216.66,52.219.129.88,52.19.236.182,17.242.13.4,192.168.0.137,13.33.146.36,142.250.76.174","17.248.216.69,17.248.216.66,52.219.129.88,52.19.236.182,17.242.13.4,192.168.0.137,13.33.146.36,142.250.76.174",1.3601519056777729,66,274216.79261559696,6,162,0
"17.248.216.69,17.248.216.66,52.219.129.88,17.242.13.4,224.0.0.251,192.168.0.137,140.82.113.25","17.248.216.69,17.248.216.66,52.219.129.88,17.242.13.4,192.168.0.104,192.168.0.137,140.82.113.25",1.2180202348877511,66,284122.2025719378,"17,6",154,0
"17.248.216.69,17.248.216.66,52.219.184.0,17.242.13.4,224.0.0.251,192.168.0.137","17.248.216.69,17.248.216.66,192.168.0.109,52.219.184.0,17.242.13.4,192.168.0.137",1.1964678688906347,66,286131.91855530086,"17,6",154,0
"17.248.216.69,17.248.216.66,142.250.67.238,52.19.236.182,52.219.184.0,192.168.0.1,17.242.13.4,192.168.0.137,13.33.146.36,142.251.42.3","17.248.216.69,17.248.216.66,142.250.67.238,52.19.236.182,192.168.0.1,52.219.184.0,17.242.13.4,192.168.0.137,13.33.146.36,142.251.42.3",0.5386518201478588,66,258915.13392637394,"17,6",239,0
"17.253.84.123,17.248.216.69,17.248.216.66,17.253.18.99,52.219.184.0,31.13.64.61,17.242.13.4,192.168.0.1,192.168.0.137","17.253.84.123,17.248.216.69,17.248.216.66,17.253.18.99,52.219.184.0,31.13.64.61,17.242.13.4,192.168.0.1,192.168.0.137",1.454755048137226,66,281639.694952834,"17,6",158,0
"17.248.216.69,142.251.12.188,17.248.216.66,142.250.66.3,192.168.0.1,52.219.184.0,17.242.13.4,224.0.0.251,192.168.0.137","17.248.216.69,142.251.12.188,17.248.216.66,192.168.0.194,142.250.66.3,52.219.184.0,192.168.0.1,17.242.13.4,192.168.0.104,192.168.0.137",0.8828907599693889,66,291646.79469588975,"17,6",184,0
"17.248.216.69,17.248.216.66,52.219.41.34,17.242.13.4,224.0.0.251,192.168.0.137","17.248.216.69,17.248.216.66,192.168.0.109,52.219.41.34,17.242.13.4,192.168.0.137",0.9703288034339907,66,282769.20792117174,"17,6",162,0
"17.248.216.69,17.248.216.66,52.219.41.34,17.242.13.4,192.168.0.137","17.248.216.69,17.248.216.66,52.219.41.34,17.242.13.4,192.168.0.137",1.0604532012973455,66,298926.6730557088,6,148,0
"17.248.216.69,17.248.216.66,3.5.150.174,192.168.0.1,17.242.13.4,192.168.0.137","17.248.216.69,17.248.216.66,3.5.150.174,192.168.0.1,17.242.13.4,192.168.0.137",0.9037294198173164,66,290695.7442514475,"17,6",156,0
"17.248.216.69,17.248.216.66,17.242.13.4,224.0.0.251,192.168.0.137,52.219.36.242,142.250.76.174","17.248.216.69,17.248.216.66,17.242.13.4,192.168.0.104,192.168.0.137,52.219.36.242,142.250.76.174",0.8726484748687768,66,285513.5975155279,"17,6",161,0
